Well,Zone,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,MTP
D8,4,P001,total60,UNKNOWN,SYBR,None,23.76388931,23.81782722,0.068007454,8628.139648,8359.420898,336.1042175,TRUE,0.440812542,TRUE,3,18,84.81850433,,,,N,N
D9,5,P001,total60,UNKNOWN,SYBR,None,23.79537201,23.81782722,0.068007454,8467.567383,8359.420898,336.1042175,TRUE,0.440812542,TRUE,3,18,84.66991425,,,,N,N
D10,5,P011,total60,UNKNOWN,SYBR,None,25.97278023,25.88463402,0.101635389,2309.417725,2437.141357,149.1687622,TRUE,0.440812542,TRUE,3,20,81.537323,84.37156677,69.90200043,,N,Y
D11,6,P011,total60,UNKNOWN,SYBR,None,25.77346039,25.88463402,0.101635389,2601.084717,2437.141357,149.1687622,TRUE,0.440812542,TRUE,3,19,81.68247986,70.19960022,,,N,Y
D12,6,P011,total60,UNKNOWN,SYBR,None,25.90765953,25.88463402,0.101635389,2400.921387,2437.141357,149.1687622,TRUE,0.440812542,TRUE,3,19,81.53335571,70.05046844,84.51591492,,N,Y
E1,1,,total60,STANDARD,SYBR,None,23.51636124,23.50538635,0.022679584,10000,,,TRUE,0.440812542,TRUE,3,17,83.17905426,,,,N,N
E2,1,,total60,STANDARD,SYBR,None,23.47930908,23.50538635,0.022679584,10000,,,TRUE,0.440812542,TRUE,3,17,83.17905426,,,,N,N
E3,2,,total60,STANDARD,SYBR,None,23.52049446,23.50538635,0.022679584,10000,,,TRUE,0.440812542,TRUE,3,17,83.02894592,,,,N,N
E4,2,,,,,,,,,,,,,,,,,,,,,,
E5,3,,,,,,,,,,,,,,,,,,,,,,
E6,3,,,,,,,,,,,,,,,,,,,,,,
E7,4,P002,total60,UNKNOWN,SYBR,None,25.50424576,25.58690834,0.074842006,3054.352051,2909.298828,130.9421387,TRUE,0.440812542,TRUE,3,19,84.81850433,,,,N,N
E8,4,P002,total60,UNKNOWN,SYBR,None,25.60640526,25.58690834,0.074842006,2873.72583,2909.298828,130.9421387,TRUE,0.440812542,TRUE,3,19,84.81850433,,,,N,N
E9,5,P002,total60,UNKNOWN,SYBR,None,25.65007019,25.58690834,0.074842006,2799.819092,2909.298828,130.9421387,TRUE,0.440812542,TRUE,3,19,84.66991425,81.537323,,,N,Y
