,SoS091a_CP04272_S249_L001,SoS055a_CP04272_S217_L001,UG006_CP04272_S262_L001,SoS042a_CP04272_S215_L001,SoS036a_CP04272_S211_L001,X9B1L_CP04272_S278_L001,SoS024a_CP04272_S197_L001,SoS070a_CP04272_S227_L001,SoS078b_CP04272_S236_L001,SoS017a_CP04272_S191_L001,SoS098b_CP04272_S252_L001,P060_CP04272_S338_L001,P006_CP04272_S287_L001,SoS002a_CP04272_S177_L001,P012_CP04272_S291_L001,P031_CP04272_S310_L001,SoS081a_CP04272_S241_L001,P043_CP04272_S322_L001,SoS008a_CP04272_S185_L001,P026_CP04272_S305_L001,UG004_CP04272_S260_L001,SoS025a_CP04272_S199_L001,SoS098a_CP04272_S251_L001,SoS079b_CP04272_S238_L001,SoS017b_CP04272_S192_L001,SoS008b_CP04272_S186_L001,SoS081b_CP04272_S242_L001,SoS014a_CP04272_S189_L001,P009_CP04272_S288_L001,SoS042b_CP04272_S216_L001,SoS065b_CP04272_S224_L001,UG005_CP04272_S261_L001,SoS035a_CP04272_S209_L001,P004_CP04272_S285_L001,P018_CP04272_S297_L001,UG001_CP04272_S257_L001,SoS006b_CP04272_S184_L001,X2B1L_CP04272_S276_L001,SoS078a_CP04272_S235_L001,SoS006a_CP04272_S183_L001,P041_CP04272_S320_L001,SoS065a_CP04272_S223_L001,P024_CP04272_S303_L001,P033_CP04272_S312_L001,SoS036b_CP04272_S212_L001,P055_CP04272_S333_L001,P010_CP04272_S289_L001,P001_CP04272_S282_L001,P019_CP04272_S298_L001,SoS018a_CP04272_S193_L001,SoS091b_CP04272_S250_L001,SoS018b_CP04272_S194_L001,P015_CP04272_S294_L001,P036_CP04272_S315_L001,SoS005b_CP04272_S182_L001,P056_CP04272_S334_L001,P051_CP04272_S330_L001,SoS082b_CP04272_S244_L001,SoS039b_CP04272_S214_L001,P023_CP04272_S302_L001,P034_CP04272_S313_L001,SoS077a_CP04272_S233_L001,SoS011b_CP04272_S188_L001,SoS033a_CP04272_S207_L001,P003_CP04272_S284_L001,SoS077b_CP04272_S234_L001,P057_CP04272_S335_L001,SoS082a_CP04272_S243_L001,SoS075a_CP04272_S231_L001,SoS039a_CP04272_S213_L001,UG009_CP04272_S263_L001,SoS031b_CP04272_S206_L001,SoS014b_CP04272_S190_L001,SoS075b_CP04272_S232_L001,P046_CP04272_S325_L001,P017_CP04272_S296_L001,P021_CP04272_S300_L001,SoS004a_CP04272_S179_L001,X16B1NL_CP04272_S343_L001,P044_CP04272_S323_L001,P053_CP04272_S332_L001,SoS005a_CP04272_S181_L001,SoS087b_CP04272_S248_L001,X9B1NL_CP04272_S279_L001,SoS035b_CP04272_S210_L001,SoS025b_CP04272_S200_L001,P029_CP04272_S308_L001,P059_CP04272_S337_L001,P025_CP04272_S304_L001,SoS027b_CP04272_S202_L001,SoS085b_CP04272_S246_L001,SoS069a_CP04272_S225_L001,P040_CP04272_S319_L001,UG010_CP04272_S264_L001,P042_CP04272_S321_L001,P013_CP04272_S292_L001,SoS004b_CP04272_S180_L001,P058_CP04272_S336_L001,SoS011a_CP04272_S187_L001,SoS063b_CP04272_S222_L001,P038_CP04272_S317_L001,P050_CP04272_S329_L001,SoS063a_CP04272_S221_L001,P027_CP04272_S306_L001,P011_CP04272_S290_L001,P032_CP04272_S311_L001,SoS087a_CP04272_S247_L001,SoS073a_CP04272_S229_L001,P020_CP04272_S299_L001,SoS069b_CP04272_S226_L001,X17B1NL_CP04272_S273_L001,SoS085a_CP04272_S245_L001,P005_CP04272_S286_L001,P048_CP04272_S327_L001,P045_CP04272_S324_L001,SoS080a_CP04272_S239_L001,SoS024b_CP04272_S198_L001,P037_CP04272_S316_L001,SoS070b_CP04272_S228_L001,P049_CP04272_S328_L001,SoS055b_CP04272_S218_L001,SoS060a_CP04272_S219_L001,SoS002b_CP04272_S178_L001,SoS023a_CP04272_S195_L001,SoS100a_CP04272_S255_L001,P022_CP04272_S301_L001,SoS060b_CP04272_S220_L001,P016_CP04272_S295_L001,P035_CP04272_S314_L001,SoS023b_CP04272_S196_L001,P047_CP04272_S326_L001,X17B1L_CP04272_S344_L001,P002_CP04272_S283_L001,UG003_CP04272_S259_L001,SoS100b_CP04272_S256_L001,P039_CP04272_S318_L001,SoS079a_CP04272_S237_L001,P030_CP04272_S309_L001,X2B1NL_CP04272_S277_L001,P028_CP04272_S307_L001,SoS099a_CP04272_S253_L001,SoS099b_CP04272_S254_L001,P052_CP04272_S331_L001,SoS080b_CP04272_S240_L001,UG002_CP04272_S258_L001,SoS073b_CP04272_S230_L001,P014_CP04272_S293_L001
VF0237,0.000460193,1.50E-05,2.33E-05,1.80E-05,0.000387665,0.000766792,0,1.18E-05,5.35E-06,0.000357073,4.79E-05,0.000244004,0.000989649,1.14E-05,0.000205809,0.000375375,0,0.000308833,0,0,5.66E-05,0.000195295,6.09E-05,8.67E-06,0.000223243,0.000208039,4.43E-06,0,0,0,0.000121824,0.000383599,0.000786797,0,0.000131336,1.38E-05,3.84E-05,0,0,1.44E-05,0.000151423,7.51E-06,0.000224253,0.00174109,0.000280303,0.003169572,2.47E-05,6.53E-05,0.001273074,8.60E-05,0.00015106,0.0001482,0.000833565,2.09E-05,9.44E-05,1.54E-05,0,0,1.76E-05,0,0.000335796,0,1.55E-05,0.000200844,1.74E-05,0,0,1.99E-05,0.000109127,3.79E-06,0.000196651,0.000124493,3.24E-05,0.000426054,4.76E-06,1.28E-05,0,1.55E-05,0.000847012,1.04E-05,0.00241213,0.000149511,1.76E-05,0.000216649,0.000141789,0,0.000322799,0,0,0,0.000170565,0,0.000113029,3.39E-05,3.86E-05,0,4.40E-05,9.78E-06,1.04E-05,4.88E-05,0,0,1.90E-05,0.000455863,0.000832293,0.000213794,2.86E-05,0,2.20E-05,0,8.76E-05,9.42E-05,0.000229121,0,0,0,3.57E-05,0.001020483,0,0,1.87E-05,6.50E-05,7.53E-06,3.16E-05,0.000248126,6.12E-05,0,7.78E-05,0,2.36E-05,0,0.00043535,0.001148545,5.29E-05,1.50E-05,0,1.16E-05,0.000279408,0.000275427,7.76E-05,1.77E-05,6.56E-06,0.001069413,0.000109621,3.80E-06,2.53E-05,0.001079649
VF0037,7.67E-05,0,0,0,0,0,0,0,0,0,0,0.000146402,0,0,0,0,0,0,0,0,0,0,0,8.67E-06,0,7.43E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51E-06,0,0,0,0,0,0,0,0,0.000188825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28E-05,0,0,0,0,0,0,0,0,0.000147039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,0,0,7.78E-05,0,0,0,3.11E-05,0,8.82E-06,0,0,2.32E-05,0,0,0,0,0,0,0,0,0,0
VF0326,0.002300966,0.000205027,0.000489077,0.000179848,0.001726872,0.000891136,9.20E-05,0.000208552,9.10E-05,0.000747622,0.001365302,0.000585609,0.001547037,0.000193163,0.000377316,0.000750751,0.000600285,0.000494132,0.000461796,3.83E-05,0.000161818,0.000497115,0.000452501,0.000125699,0.001177802,0.000594398,0.000516101,0.000692064,0.000198768,0.000109293,0.000310098,0.000416479,0.000748417,0,0.000558179,9.63E-05,0.000192164,0.000127535,6.52E-05,0.000107745,0.000151423,0.000180357,0.000602355,0.000716919,0.000650703,0.003169572,0.000317062,5.22E-05,0.000636537,0.000242266,0.001548368,0.000467755,0,8.16E-05,0.000398657,0.000281498,0,0.000121227,0.000281455,0.00095887,0.000335796,0.000131061,0.000130391,0.00011158,0.000173776,8.57E-05,0,0.000203887,0.000321319,0.000102457,0.000196651,0.000143167,0.00034018,0.000298238,9.04E-05,0.000162664,0.001133242,0.000363347,0.001482272,0.000212914,0.00275672,0.000659607,0.000562885,0.000738827,0.001179687,0.000199381,0.000430398,0,0,0.000114916,0.001605665,9.94E-05,0.000367346,0.000212015,0.001196449,0.000762002,0.000264018,7.82E-05,7.63E-05,0.000293069,0.002309469,0.000270486,0.000148015,0.000911725,0.000832293,0.000384829,0.000419611,0.000157884,0.000211611,7.66E-05,0.001270871,0.000816788,0.002062092,7.01E-05,0,0.000294471,0.000472944,0.001530724,0.000353754,0,0.000289674,0.001123491,0.000127951,0.000207562,0.000141786,0.000446836,0.00040471,0.000233518,0,0.000314931,0.000128642,0.002518813,0.000765697,0.00039685,0.000209324,0,0.000208471,0.001117631,0.000476414,0.000201635,0.000123825,0.000157438,0.000422373,0.000223301,0.00011404,0.000266156,0.000637974
VF0349,0.000460193,4.50E-05,0.000232894,2.70E-05,0.000387665,0.000186517,0,2.36E-05,0,0.000401707,0.000407195,4.88E-05,5.69E-05,2.84E-05,8.58E-06,0,0.000769115,0.000123533,0.000173174,1.53E-05,4.05E-05,7.10E-05,7.83E-05,8.67E-06,0.000192451,7.43E-06,0.00039649,0.000642631,0.000795071,3.21E-06,2.21E-05,2.19E-05,0.000115141,0,0.000197004,4.81E-05,9.88E-05,1.42E-05,0,5.75E-05,0,7.51E-06,0.000200785,0.000102417,0.000310335,0,6.18E-05,6.53E-06,0,0,0.000188825,1.39E-05,0,4.19E-06,0.000136383,0.000262217,0,0.00027276,8.80E-06,0.000656069,0.000111932,1.25E-05,0,0,8.69E-05,0,0,2.49E-05,7.28E-05,3.79E-06,9.83E-06,3.73E-05,8.10E-05,6.82E-05,4.76E-05,7.97E-05,3.43E-05,6.18E-05,0.000117641,0.000125856,0.00068918,0.000131921,7.04E-05,1.11E-05,0.000584172,2.32E-06,0,0,0,3.08E-05,0.000105868,2.98E-05,7.06E-06,2.54E-05,0.000482439,0.000508001,0,2.61E-05,6.94E-06,2.93E-05,0.000577367,0.0001181,0,0.000260493,0,0.000199541,0.000286098,9.29E-06,0.00027774,0,0.00070117,0.000345564,0,0,0,0.000294471,1.78E-05,0,6.80E-06,0,9.34E-06,0.000854225,1.51E-05,0.000103781,8.86E-05,5.51E-05,0.00049324,0.000311357,0.000248694,0,0,0.000155482,0.000153139,6.17E-05,5.98E-05,0,2.32E-05,0,5.21E-05,0.000100817,1.77E-05,1.31E-05,0.000413387,1.62E-05,0,0,0.000147225
VF0035,0.001073784,0.000195025,0.000652103,0.000566521,0.002396476,0.005263921,0.000291433,0.000594177,3.21E-05,0.002594359,0.005054013,0.001586023,0.00379934,0.000181801,0.001749376,0.006756757,0.000656562,0.000679432,0.000404072,1.15E-05,0.000355999,0.000781181,0.000208846,0.000108362,0.002825185,0.001218515,0.000485091,0.001071052,0.001391373,0.000112508,0.000155049,0.001304238,0.006658991,0.001474926,0.000656681,0.000914479,0.000197654,0.000368434,4.66E-06,0.000143661,0.007419746,0.000232961,0.00055281,0.005428103,0.002012173,0,0.000247061,0.000293863,0.005092298,0.000617388,0.001378425,0.001218016,0.003612114,9.42E-05,0.000996643,0.000439599,0.003305785,0.001485028,0.0001935,0.001514005,0.002574435,2.50E-05,7.76E-05,0.000200844,0.000312796,1.29E-05,0.007009346,0.000487339,0.001655097,3.42E-05,0.000914427,0.000267661,0.001150133,0.00283752,0.000228374,0.00018818,0.000309066,0.000417462,0.00559185,0.000390815,0.006202619,0.001090551,0.000211082,0.002910869,0.001707143,9.27E-05,0.000261313,0.00058326,0.002471424,0.000271874,0.00241732,9.44E-05,0.001434061,0.001365379,0.002238518,0.000254001,0.000209014,5.54E-05,2.08E-05,0.000439603,0.003752887,0.000125719,0.000254283,0.003158477,0.004161465,0.000912188,0.000600807,5.57E-05,0.000705371,8.11E-05,0.002782769,0.002984418,0.005728033,2.67E-05,0.00304414,0.000638021,0.000544332,0.004665063,0.001210926,0,5.61E-05,0.001267409,0.000188164,0.00028427,0.001116566,0.000789614,0.000328827,0.000233518,0.001492166,0.000732214,0.000257284,0.003327321,0.003139357,0.000537952,0.000762537,0.002997003,0.00040536,0.001117631,0.00136969,0.000868581,0.000170997,0.000301756,0.002013013,0.001822951,0.000304107,0.000240808,0.00426952
VF0470,0.000153398,0.000120016,0.000186315,0.000143878,0.001409692,0.000269413,0.000398804,0.000649266,4.01E-05,0.000479817,0.000455101,0.000195203,0.000602889,9.09E-05,0.000728907,0.000750751,0.00016883,0.000679432,0.000885109,7.65E-06,9.71E-05,0.000426099,0.000478606,6.50E-05,6.93E-05,0,0.000170557,0.000263644,0,7.71E-05,0.000132899,0.000668559,0.000844368,0,3.94E-05,0.00083197,2.75E-05,1.42E-05,6.99E-06,0,0.000151423,0.000162822,5.22E-05,0.000204834,0.000330357,0,7.82E-05,6.86E-05,0,0.000171931,1.89E-05,0.00011115,0,0,0.000167856,0.00011954,0.001652893,0.000393987,0.000105546,0,0.000447728,6.24E-06,3.10E-06,4.46E-05,0.000112954,0,0,6.46E-05,0.000527449,3.79E-06,0.000117991,0.000230313,0.000194389,0.000443096,0.000123702,0.00019137,6.87E-05,3.09E-05,0.000305866,0.000245087,0,9.67E-05,0.000171504,9.44E-05,0.000272235,6.26E-05,0.000169085,0,0,0.000215817,0.001088088,2.49E-05,0.000762949,0.00027138,0.000617522,0,0.000187013,3.26E-05,3.82E-05,0.000136765,0,0,5.69E-05,0.000781479,0.002496879,7.13E-05,0.000238415,2.79E-05,8.82E-05,2.70E-05,4.38E-05,0.000691128,0.000114561,5.67E-05,0.00913242,0.00034355,0.00023201,0.000291566,0.00225858,0,9.34E-05,8.36E-05,0.000233323,0.000261709,0.000708931,0.000385625,8.85E-05,0.000544874,0,0.001047145,0,0.000839604,0.001225115,0.000167559,0.000149517,0,0.000266379,0.001676446,0.000238207,0.000845315,6.49E-05,0.000183678,3.59E-05,5.28E-05,0.000277498,2.53E-05,0.000245375
VF0260,0.001840773,8.50E-05,0.00037263,3.60E-05,0.001022026,0.000373034,0,8.66E-05,6.42E-05,0.000167378,0.000479053,0.000341605,0.003492208,4.55E-05,0.000188658,0.001501502,0.000290763,0,3.85E-05,4.21E-05,0.000258908,0.000177541,5.22E-05,1.30E-05,0.000515769,0.000226614,8.20E-05,8.24E-05,0.001192606,4.82E-05,4.43E-05,0.000274,0.001823067,0,0.000183871,8.94E-05,9.33E-05,0.000170046,4.19E-05,2.87E-05,0.000151423,5.26E-05,0.000443291,0.001229005,0.000260281,0,0.000152354,8.16E-05,0,0.000203191,0.001321777,0.000319555,0.000833565,7.53E-05,0.000167856,5.40E-05,0,6.06E-05,2.64E-05,0,0.001231251,2.50E-05,3.41E-05,8.93E-05,4.34E-05,2.57E-05,0,6.96E-05,0.000363758,5.69E-05,0.000353972,0.000236538,0.000275384,0.000604997,4.28E-05,8.61E-05,0,0.000146885,0.001741081,5.77E-05,0.00068918,0.00038697,7.48E-05,0.000211094,0.000340294,9.27E-06,0.000184456,0,0,4.48E-05,0.001335113,2.98E-05,0.00016248,0.000101767,0.000443844,0,0.000242016,5.87E-05,3.12E-05,0.000175841,0.000288684,0.0001181,3.80E-05,0.000651232,0,0.001040464,0.000429148,1.86E-05,6.61E-05,1.80E-05,0.000525878,0.000376979,0.003093138,7.34E-05,0,0.000171775,8.92E-05,0.001384941,0.000142862,0,0.000121476,0.000292479,4.52E-05,3.16E-05,3.54E-05,0.000214236,8.85E-05,0.000233518,0.000497389,0.000196832,0.000321605,0.001150569,0.000382848,0.000273385,7.48E-05,0,0.000220053,0.000279408,0.000312647,0.000240411,8.26E-05,7.22E-05,0.000287573,0.000129921,9.88E-05,6.34E-05,0.000736124
VF0083,0.000536892,1.50E-05,0,5.40E-05,0.000704846,0.000746068,1.53E-05,4.72E-05,0,0.000262226,0.000383243,0.000317205,0.000420885,1.14E-05,0.000128631,0,0,0.000432366,1.92E-05,0,9.71E-05,3.55E-05,5.22E-05,1.30E-05,0.000307922,0.000178319,3.10E-05,0,0,0,4.43E-05,0.0001644,0.000767607,0,0.000151037,2.06E-05,1.65E-05,1.42E-05,0,0,0.00045427,1.75E-05,0.000182532,0.002355592,0.000390422,0,5.76E-05,3.92E-05,0,7.82E-05,0.00022659,0.000171356,0.000277855,5.23E-05,0.000136383,0,0,3.03E-05,8.80E-06,0,0.001119319,0,0,0,0,1.71E-05,0,9.95E-06,0.000381945,3.79E-06,0.000127823,6.22E-06,0.000291583,0.002343297,5.23E-05,0,0.000103022,3.87E-05,0.001756766,2.74E-05,0.00068918,8.79E-05,8.80E-06,0.000372191,0.000238206,4.64E-06,0.0001076,0.00029163,0,2.80E-06,0.000458761,9.94E-06,0.000127158,0.00014417,0.000366654,0.000254001,3.30E-05,2.28E-05,0,0.000107459,0.001443418,0,4.17E-05,0.000488424,0.000416146,0.000356323,2.86E-05,9.29E-06,7.49E-05,0,0.000306762,0.000848203,0.001260167,0,0,0,4.46E-05,0.001749399,1.36E-05,0.000319795,0,2.32E-05,3.01E-05,9.02E-06,0.00010634,8.57E-05,1.26E-05,0,0.000994777,0.000196832,0.000450248,0.000497543,0.000229709,5.29E-05,8.97E-05,0.000999001,2.32E-05,0,0.00039453,6.98E-05,1.18E-05,6.56E-06,0.0005392,0.000410062,2.28E-05,6.34E-05,0.000736124
VF0615,0.001227182,0.004010521,0.003749592,0.003614945,0.003171806,0.003191511,0.004126083,0.0044701,0.003504942,0.003096493,0.003041989,0.003172047,0.002548061,0.003795088,0.00355878,0.000750751,0.003292189,0.003767758,0.004540994,0.004312786,0.005380433,0.004722592,0.0049514,0.00445583,0.003926006,0.004755182,0.003557332,0.00238927,0.001987676,0.004104935,0.004596097,0.004186714,0.002322011,0,0.004156789,0.00435237,0.004156235,0.003627655,0.004357146,0.004870095,0.001211387,0.004631671,0.004586761,0.002355592,0.00406439,0,0.004574746,0.004659364,0.001273074,0.004603055,0.002851262,0.004061595,0.00111142,0.00497856,0.00311582,0.003983388,0.00661157,0.005121833,0.005189322,0.00206914,0.002462503,0.003850691,0.004414655,0.003994555,0.004605052,0.004016099,0,0.004062817,0.00334657,0.004671301,0.003834695,0.003983791,0.004503337,0.00307611,0.004843421,0.004465297,0.004017857,0.004584354,0.001874407,0.004395482,0.00206754,0.003465138,0.004938434,0.003477488,0.003414286,0.004840796,0.004795868,0.004082823,0.002471424,0.004223856,0.002693753,0.004230211,0.004401085,0.004062214,0.002103435,0.002794006,0.00388326,0.004623004,0.004241623,0.004923558,0.002309469,0.004640177,0.004102685,0.002507245,0,0.004233121,0.004482209,0.004485763,0.004086743,0.004439177,0.003593497,0.00235612,0.001832971,0.004285013,0.00913242,0.002944713,0.004274343,0.001968073,0.003013708,0.005116725,0.004419859,0.003240483,0.003891226,0.003812833,0.003704163,0.004590778,0.003971215,0.003658442,0.003481721,0.003566592,0.003794944,0.002674296,0.00229709,0.004171333,0.004156574,0,0.003798802,0.001676446,0.003476332,0.003753509,0.005006073,0.005339771,0.003019519,0.004693387,0.004979758,0.004461287,0.002846346
VF0915,0.000920387,0.000185024,0.000465788,0.000197833,0.0009163,0.000497378,0.000414142,0.000818469,2.14E-05,0.000585823,0.000886249,0.000195203,0.00040951,0.000249976,0.000883263,0.001501502,0.000431455,0.000741198,0.000558004,4.59E-05,0.000113272,0.000248557,0.000643943,4.77E-05,0.000492675,3.71E-06,0.000451865,0.000510809,0.000397535,0.000102864,0.000121824,0.001128878,0.000153521,0,0.000446543,0.000735709,5.49E-05,0.000127535,4.66E-06,4.31E-05,0.000605694,0.000217932,0.000166886,0.000512085,0.000670724,0,0.000238826,8.49E-05,0,0.000175838,0.000113295,7.87E-05,0,6.28E-06,0.00010491,0.000204375,0,0.000969815,3.52E-05,0.000252334,0.000671592,0,1.86E-05,0.000156212,0.000156398,2.14E-05,0,0.000164104,0.000309194,1.52E-05,6.88E-05,0.00029256,0.000356379,0.000366406,0.000190311,9.57E-05,6.87E-05,6.18E-05,9.41E-05,0.000355802,0.003445899,0.000228664,0.000356201,0.000122212,0.000175819,7.19E-05,0.000292056,0,0.000617856,7.85E-05,0.001052799,8.95E-05,0.001010201,0.000203535,0.001852567,0,7.70E-05,2.61E-05,1.04E-05,8.79E-05,0.000288684,7.24E-05,2.66E-05,0.000162808,0.000416146,9.98E-05,0.00053405,1.86E-05,7.94E-05,1.35E-05,0.000175293,0.001036693,0.000229121,5.34E-05,0,0.00134966,0.000383709,0.00043735,0.0018436,0,8.41E-05,0.001276695,0.000173111,0.00016244,0.001577371,9.18E-05,0.000708242,0.001478945,0,0.000614115,0,0.001399341,0.000459418,0.000326299,0.000104662,0,0.000359033,0,5.96E-05,0.000248166,0.000123825,0.000177118,8.99E-05,0.000150221,0.00019767,0,0.000147225
VF0373,0.000230097,0,2.33E-05,0.000134886,0.000704846,0.001077653,6.14E-05,0.000118048,5.35E-06,0.001037744,0.001628782,0.000414806,0.001410534,1.70E-05,0.00011148,0.003003003,0,0,1.92E-05,0,4.85E-05,0.000230803,8.70E-06,8.67E-06,0.002078474,0.000274909,8.86E-06,6.59E-05,0,2.25E-05,0.000188274,0.00024112,0.00220687,0,8.54E-05,2.06E-05,3.84E-05,9.92E-05,0,1.44E-05,0.00090854,1.50E-05,9.39E-05,0.003277345,0.000380411,0,3.71E-05,9.47E-05,0,0.000148486,9.44E-05,0.000319555,0.00277855,1.88E-05,0.000251783,0,0.005785124,0.000212147,8.80E-06,0,0.002574435,0,6.21E-06,8.93E-05,1.74E-05,0,0,8.45E-05,0.000642638,3.79E-06,0.000206484,4.36E-05,0.000145791,0.000911756,9.52E-06,6.38E-06,6.87E-05,6.96E-05,0.003121397,6.62E-06,0.00137836,0.001292831,6.60E-05,0.000394412,0.000204177,1.39E-05,0,0,0,1.68E-05,0.000541103,0,0.000289638,0.000381628,0.000521034,0.001016002,2.20E-05,3.26E-06,6.94E-06,5.86E-05,0.009237875,1.14E-05,0.000129039,0.000683794,0,0.000256553,3.81E-05,0,0.00018516,9.01E-06,0.000876463,0.000816788,0.002291213,0,0.00304414,2.45E-05,0.000142776,0.001166266,3.40E-05,0,0,2.32E-05,3.01E-05,4.51E-06,0.000283572,0.000269326,8.85E-05,0.000155678,0,6.30E-05,0,0.000310965,0.000459418,7.94E-05,0.000209324,0,5.79E-05,0,0.000334978,8.53E-05,4.72E-05,1.31E-05,0.001114346,0.000280142,3.42E-05,6.34E-05,0.000687049
VF0068,0.001150483,0.00177023,0.000465788,0.001942359,0.00077533,0.001305618,0.001901986,0.000960127,0.001827386,0.00083689,0.000934154,0.001781226,0.000910022,0.001550987,0.001097648,0.003378378,0.0013694,0.001544163,0.001481596,0.001603423,0.001788084,0.001331558,0.001322694,0.001729451,0.001724364,0.001820343,0.001643549,0.00108753,0.000397535,0.001594399,0.001816289,0.001391918,0.00105546,0,0.001326495,0.001168883,0.00204792,0.002125579,0.002062072,0.002154909,0.000302847,0.001528025,0.001342912,0.000409668,0.000900973,0,0.001387659,0.002305193,0,0.001688047,0.00134066,0.001579252,0,0.001684633,0.001626102,0.001785391,0.000826446,0.000848588,0.001635956,0.001312137,0.001119319,0.001610175,0.001664033,0.001182745,0.001763822,0.001838747,0,0.00181509,0.001364091,0.002052944,0.001897682,0.001581067,0.0017171,0.001312246,0.001979237,0.001731897,0.000721154,0.001638926,0.000768585,0.001547172,0.00034459,0.001002603,0.001314864,0.001977613,0.001741172,0.001437401,0.00201365,0.001749781,0.001235712,0.001751765,0.000652853,0.00182431,0.001787279,0.002043828,0.001080664,0.002286005,0.002068139,0.001747482,0.00151214,0.001631417,0.000577367,0.001782925,0.001874862,0.00100941,0,0.001439546,0.001401883,0.002052492,0.00212493,0.001676521,0.00140234,0.000848203,0.001260167,0.001701991,0,0.001300582,0.00192747,0.000656024,0.00082996,0.000959386,0.001448368,0.001072423,0.001904217,0.001705622,0.001471031,0.001432323,0.001808547,0.002101658,0.000994777,0.001747866,0.001608027,0.002114559,0.001607963,0.001499211,0.001614784,0,0.001760421,0.001117631,0.002292741,0.001233074,0.001533073,0.001207024,0.001356986,0.00170521,0.002026115,0.001647634,0.000932424
VF0012,0.003528148,0.002560333,0.022241371,0.001501731,0.012475771,0.001326342,0.000306772,0.001302468,8.03E-06,0.016018077,0.021222065,0.002415636,0.001763167,0.006260759,0.003198614,0.00975976,0.028297816,0.007041384,0.003117123,0.001052366,0.001003269,0.002432312,0.003002167,0.001178974,0.00833699,0.000256334,0.018907461,0.047900738,0.012522361,0.000260376,0.00172769,0.00015344,0.006447899,0,0.011866221,0.001849585,0.004705275,0.000297581,1.40E-05,0.003641797,0.015293761,0.000711409,0.00863375,0.002355592,0.010180995,0.003169572,0.007004179,0.000303659,0.003182686,0.000547052,0.007194245,0.00041218,0.00111142,0.000550383,0.006347042,0.009725173,0.02231405,0.009364771,0.001064251,0.083623518,0.01667786,0.00182861,0.000133495,0.003570552,0.001798577,0.000141442,0.014018692,0.005480079,0.005062293,0.000717202,0.00096359,0.002072816,0.00273764,0.004362794,0.003021191,0.008283125,0.000446429,0.005110048,0.001748924,0.009761849,0.009648518,0.004995427,0.003984169,0.000566619,0.026355789,0.000139103,0.002982046,0.002333042,0.000617856,0.002362781,0.008598837,0.001615533,0.00037441,0.00055124,0.04857198,0.024130048,0.000308021,0.001610553,0.000100578,0.001230889,0.002886836,0.007726009,0.000258078,0.003907395,0.008739076,0.00141104,0.009832251,0.00212679,0.007529835,0.000261393,0.037271572,0.024912038,0.00515523,5.67E-05,0.00152207,0.030993104,0.001320674,0.000583133,0.000442192,0.008314679,0.000532626,0.061104921,0.000669863,0.004643083,0.007815962,0.001628196,0.025408188,0.022573363,0.021636409,0.000118099,0.00237988,0.003544997,0.010183767,0.003412909,0.002691307,0,0.0031039,0.010617491,0.002061978,0.002590232,0.001934031,0.004132746,0.023733779,0.001347928,0.000292703,0.00043092,0.009913137
VF0581,0.000383494,0.000610079,0.000512367,0.001115058,0.00045815,0.000331586,0.000398804,0.000558763,0.000692962,0.000295701,0.000766485,0.000512408,0.000318508,0.000664709,0.000891839,0,0.000384558,0.0001853,0.000885109,0.001197784,0.00046118,0.00060364,0.00076577,0.001105288,0.000461883,0.000646408,0.00044079,0.00021421,0.001788909,0.001266519,0.001118568,0.000646639,0.000268662,0.001474926,0.000479377,0.000426298,0.000883955,0.00161544,0.000657067,0.00094816,0.000151423,0.000886756,0.000518912,0.000409668,0.0007408,0,0.000358238,0.000848938,0,0.000769781,0.000698654,0.000500174,0.00055571,0.000929164,0.001353336,0.000539859,0,0.000606134,0.000448569,0.000252334,0.000335796,0.00144791,0.001229398,0.001026534,0.001025276,0.001362988,0,0.000472421,0.000648701,0.000618539,0.00046213,0.000722062,0.000777555,0.000604997,0.000666089,0.000593247,0.000618132,0.000579809,0.000266652,0.000579125,0.00034459,0.000826708,0.000527704,0.000616615,0.000465069,0.000572642,0.000537998,0.002624672,0.000308928,0.000661466,0.000352893,0.001232776,0.000713499,0.00068693,0.000173678,0,0.000660044,0.000524897,0.001467054,0.000742441,0.000866051,0.000937179,0.000979179,0.000586109,0.002496879,0.00034207,0.000457758,0.00078942,0.000418814,0.001347527,0.000657347,0.00018849,0.000229121,0.001174708,0,0.000441707,0.000553255,0.000874699,0.000680295,0,0.000635413,0.000380687,0.00063223,0.001227326,0.000460805,0.000544772,0.000531182,0.000155678,0.000248694,0.00127547,0.001286422,0.000310965,0.000229709,0.000520314,0.000328938,0,0.000903374,0.000838223,0.000960272,0.000411025,0.000642711,0.000564153,0.00043136,0.000544043,0.001007356,0.000583009,0.000834274
